group,variable,value,,,
Auglaize,8/4,4,,,
Auglaize,8/5,5,,,
Auglaize,8/6,9,,,
Auglaize,8/7,3,,,
Auglaize,8/8,2,,,
Auglaize,8/9,4,,,
Auglaize,8/10,15,,,
Auglaize,8/11,6,,,
Auglaize,8/12,6,,,
Auglaize,8/13,5,,,
Auglaize,8/14,12,,,
Auglaize,8/15,6,,,
Auglaize,8/16,9,,,
Auglaize,8/17,11,,,
Auglaize,8/18,10,,,
Auglaize,8/19,8,,,
Auglaize,8/20,4,,,
Auglaize,8/21,8,,,
Auglaize,8/22,3,,,
Auglaize,8/23,6,,,
Auglaize,8/24,8,,,
Auglaize,8/25,9,,,
Auglaize,8/26,11,,,
Auglaize,8/27,9,,,
Auglaize,8/28,13,,,
Auglaize,8/29,5,,,
Auglaize,8/30,1,,,
Auglaize,8/31,8,,,
Auglaize,9/1,8,,,
Auglaize,9/2,7,,,
Auglaize,9/3,11,,,
Auglaize,9/4,9,,,
Auglaize,9/5,6,,,
Auglaize,9/6,2,,,
Auglaize,9/7,5,,,
Auglaize,9/8,10,,,
Auglaize,9/9,11,,,
Auglaize,9/10,8,,,
Auglaize,9/11,7,,,
Auglaize,9/12,3,,,
Auglaize,9/13,3,,,
Auglaize,9/14,9,,,
Auglaize,9/15,13,,,
Auglaize,9/16,3,,,
Auglaize,9/17,4,,,
Auglaize,9/18,2,,,
Auglaize,9/19,5,,,
Auglaize,9/20,8,,,
Auglaize,9/21,6,,,
Auglaize,9/22,16,,,
Auglaize,9/23,11,,,
Auglaize,9/24,5,,,
Auglaize,9/25,9,,,
Auglaize,9/26,7,,,
Auglaize,9/27,6,,,
Auglaize,9/28,18,,,
Auglaize,9/29,16,,,
Auglaize,9/30,17,,,
Auglaize,10/1,7,,,
Auglaize,10/2,15,,,
Auglaize,10/3,12,,,
Auglaize,10/4,12,,,
Auglaize,10/5,11,,,
Auglaize,10/6,14,,,
Auglaize,10/7,26,,,
Auglaize,10/8,18,,,
Auglaize,10/9,21,,,
Auglaize,10/10,21,,,
Auglaize,10/11,25,,,
Auglaize,10/12,37,,,
Auglaize,10/13,31,,,
Auglaize,10/14,19,,,
Auglaize,10/15,23,,,
Auglaize,10/16,11,,,
Auglaize,10/17,20,,,
Auglaize,10/18,20,,,
Auglaize,10/19,50,,,
Auglaize,10/20,25,,,
Auglaize,10/21,25,,,
Auglaize,10/22,49,,,
Auglaize,10/23,26,,,
Auglaize,10/24,14,,,
Auglaize,10/25,25,,,
Auglaize,10/26,50,,,
Auglaize,10/27,38,,,
Auglaize,10/28,42,,,
Auglaize,10/29,42,,,
Auglaize,10/30,26,,,
Auglaize,10/31,31,,,
Auglaize,11/1,36,,,
Auglaize,11/2,63,,,
Auglaize,11/3,42,,,
Auglaize,11/4,38,,,
Auglaize,11/5,43,,,
Auglaize,11/6,35,,,
Auglaize,11/7,37,,,
Auglaize,11/8,37,,,
Auglaize,11/9,100,,,
Auglaize,11/10,60,,,
Auglaize,11/11,44,,,
Auglaize,11/12,50,,,
Auglaize,11/13,43,,,
Auglaize,11/14,40,,,
Auglaize,11/15,42,,,
Auglaize,11/16,52,,,
Auglaize,11/17,40,,,
Auglaize,11/18,40,,,
Auglaize,11/19,32,,,
Auglaize,11/20,47,,,
Auglaize,11/21,39,,,
Auglaize,11/22,22,,,
Auglaize,11/23,47,,,
Auglaize,11/24,43,,,
Auglaize,11/25,48,,,
Auglaize,11/26,30,,,
Auglaize,11/27,37,,,
Auglaize,11/28,32,,,
Auglaize,11/29,22,,,
Auglaize,11/30,46,,,
Auglaize,12/1,35,,,
Auglaize,12/2,26,,,
Auglaize,12/3,31,,,
Auglaize,12/4,40,,,
Auglaize,12/5,20,,,
Auglaize,12/6,26,,,
Auglaize,12/7,39,,,
Auglaize,12/8,42,,,
Auglaize,12/9,24,,,
Auglaize,12/10,28,,,
Auglaize,12/11,16,,,
Auglaize,12/12,22,,,
Auglaize,12/13,26,,,
Auglaize,12/14,52,,,
Auglaize,12/15,32,,,
Auglaize,12/16,36,,,
Auglaize,12/17,42,,,
Auglaize,12/18,29,,,
Auglaize,12/19,18,,,
Auglaize,12/20,25,,,
Auglaize,12/21,45,,,
Auglaize,12/22,31,,,
Auglaize,12/23,40,,,
Auglaize,12/24,21,,,
Auglaize,12/25,18,,,
Auglaize,12/26,26,,,
Auglaize,12/27,27,,,
Auglaize,12/28,44,,,
Auglaize,12/29,37,,,
Auglaize,12/30,26,,,
Auglaize,12/31,29,,,
Auglaize,1/1,31,,,
Auglaize,1/2,19,,,
Auglaize,1/3,23,,,
Auglaize,1/4,51,,,
Auglaize,1/5,39,,,
Auglaize,1/6,27,,,
Auglaize,1/7,24,,,
Auglaize,1/8,33,,,
Auglaize,1/9,26,,,
Auglaize,1/10,17,,,
Auglaize,1/11,17,,,
Auglaize,1/12,20,,,
Auglaize,1/13,16,,,
Auglaize,1/14,17,,,
Auglaize,1/15,8,,,
Auglaize,1/16,4,,,
Auglaize,1/17,4,,,
Auglaize,1/18,,,,
Belmont,8/1,1,,,
Belmont,8/2,1,,,
Belmont,8/3,6,,,
Belmont,8/4,1,,,
Belmont,8/5,3,,,
Belmont,8/6,5,,,
Belmont,8/7,1,,,
Belmont,8/8,2,,,
Belmont,8/9,,,,
Belmont,8/10,4,,,
Belmont,8/11,2,,,
Belmont,8/12,5,,,
Belmont,8/13,1,,,
Belmont,8/14,2,,,
Belmont,8/15,2,,,
Belmont,8/16,5,,,
Belmont,8/17,1,,,
Belmont,8/18,4,,,
Belmont,8/19,1,,,
Belmont,8/20,1,,,
Belmont,8/21,1,,,
Belmont,8/22,,,,
Belmont,8/23,,,,
Belmont,8/24,,,,
Belmont,8/25,1,,,
Belmont,8/26,1,,,
Belmont,8/27,2,,,
Belmont,8/28,2,,,
Belmont,8/29,,,,
Belmont,8/30,,,,
Belmont,8/31,2,,,
Belmont,9/1,2,,,
Belmont,9/2,2,,,
Belmont,9/3,,,,
Belmont,9/4,,,,
Belmont,9/5,1,,,
Belmont,9/6,,,,
Belmont,9/7,2,,,
Belmont,9/8,2,,,
Belmont,9/9,3,,,
Belmont,9/10,,,,
Belmont,9/11,1,,,
Belmont,9/12,2,,,
Belmont,9/13,,,,
Belmont,9/14,2,,,
Belmont,9/15,3,,,
Belmont,9/16,1,,,
Belmont,9/17,5,,,
Belmont,9/18,1,,,
Belmont,9/19,,,,
Belmont,9/20,1,,,
Belmont,9/21,,,,
Belmont,9/22,5,,,
Belmont,9/23,1,,,
Belmont,9/24,,,,
Belmont,9/25,1,,,
Belmont,9/26,,,,
Belmont,9/27,,,,
Belmont,9/28,1,,,
Belmont,9/29,,,,
Belmont,9/30,1,,,
Belmont,10/1,1,,,
Belmont,10/2,2,,,
Belmont,10/3,3,,,
Belmont,10/4,,,,
Belmont,10/5,4,,,
Belmont,10/6,2,,,
Belmont,10/7,4,,,
Belmont,10/8,3,,,
Belmont,10/9,5,,,
Belmont,10/10,2,,,
Belmont,10/11,4,,,
Belmont,10/12,7,,,
Belmont,10/13,3,,,
Belmont,10/14,7,,,
Belmont,10/15,3,,,
Belmont,10/16,6,,,
Belmont,10/17,2,,,
Belmont,10/18,2,,,
Belmont,10/19,10,,,
Belmont,10/20,8,,,
Belmont,10/21,6,,,
Belmont,10/22,8,,,
Belmont,10/23,7,,,
Belmont,10/24,7,,,
Belmont,10/25,11,,,
Belmont,10/26,11,,,
Belmont,10/27,8,,,
Belmont,10/28,22,,,
Belmont,10/29,22,,,
Belmont,10/30,16,,,
Belmont,10/31,22,,,
Belmont,11/1,16,,,
Belmont,11/2,39,,,
Belmont,11/3,25,,,
Belmont,11/4,35,,,
Belmont,11/5,40,,,
Belmont,11/6,37,,,
Belmont,11/7,25,,,
Belmont,11/8,46,,,
Belmont,11/9,65,,,
Belmont,11/10,63,,,
Belmont,11/11,52,,,
Belmont,11/12,67,,,
Belmont,11/13,48,,,
Belmont,11/14,34,,,
Belmont,11/15,28,,,
Belmont,11/16,63,,,
Belmont,11/17,46,,,
Belmont,11/18,49,,,
Belmont,11/19,61,,,
Belmont,11/20,36,,,
Belmont,11/21,30,,,
Belmont,11/22,21,,,
Belmont,11/23,81,,,
Belmont,11/24,52,,,
Belmont,11/25,78,,,
Belmont,11/26,19,,,
Belmont,11/27,48,,,
Belmont,11/28,43,,,
Belmont,11/29,24,,,
Belmont,11/30,80,,,
Belmont,12/1,48,,,
Belmont,12/2,50,,,
Belmont,12/3,44,,,
Belmont,12/4,48,,,
Belmont,12/5,21,,,
Belmont,12/6,27,,,
Belmont,12/7,43,,,
Belmont,12/8,41,,,
Belmont,12/9,36,,,
Belmont,12/10,35,,,
Belmont,12/11,37,,,
Belmont,12/12,18,,,
Belmont,12/13,28,,,
Belmont,12/14,48,,,
